Cell type	Term(s)	Category term(s)	Selected category
HeartRightVentricle	right ventricle	cardiovascular system	cardiovascular system
BrownAdiposeTissue	brown adipose tissue	connective tissue	connective tissue
Mesoderm	mesoderm	embryonic structure	embryonic structure
ParathyroidAdenoma	parathyroid gland	trunk|gland	
Gm06999	GM-3299 cell	immune system|gland|hematopoietic system	
SmoothMuscleCellOfBladder	aorta smooth muscle cell line	cardiovascular system|muscular system	
EpithelialCellOfUmbilicalArtery	epithelial cell line	integument	integument
Ips5	POGS-5 cell	urogenital system|gland|primary cell	
Intestine	intestine	viscus	viscus
CkitpositiveCd71positiveTer119positiveErythroidProgenitorCells	erythroid progenitor cell	adult stem cell|hematopoietic system	
