name,bigWig,data_type,cell_type,antibody,header
wgEncodeSydhTfbsCh12Bhlhe40nb100IggrabSig,wgEncodeSydhTfbsCh12Bhlhe40nb100IggrabSig.bigWig,ChipSeq,CH12,BHLHE40_(NB100-1800),wgEncodeSydhTfbsCh12Bhlhe40nb100IggrabSig
wgEncodeSydhTfbsCh12Chd1nb10060411IggrabSig,wgEncodeSydhTfbsCh12Chd1nb10060411IggrabSig.bigWig,ChipSeq,CH12,CHD1_(NB100-60411),wgEncodeSydhTfbsCh12Chd1nb10060411IggrabSig
wgEncodeSydhTfbsCh12Chd2ab68301IggrabSig,wgEncodeSydhTfbsCh12Chd2ab68301IggrabSig.bigWig,ChipSeq,CH12,CHD2_(AB68301),wgEncodeSydhTfbsCh12Chd2ab68301IggrabSig
wgEncodeSydhTfbsCh12CjunIggrabSig,wgEncodeSydhTfbsCh12CjunIggrabSig.bigWig,ChipSeq,CH12,c-Jun,wgEncodeSydhTfbsCh12CjunIggrabSig
wgEncodeSydhTfbsCh12CmycIggrabSig,wgEncodeSydhTfbsCh12CmycIggrabSig.bigWig,ChipSeq,CH12,c-Myc,wgEncodeSydhTfbsCh12CmycIggrabSig
wgEncodeSydhTfbsCh12Corestsc30189IggrabSig,wgEncodeSydhTfbsCh12Corestsc30189IggrabSig.bigWig,ChipSeq,CH12,COREST_(sc-30189),wgEncodeSydhTfbsCh12Corestsc30189IggrabSig
wgEncodeSydhTfbsCh12CtcfbIggrabSig,wgEncodeSydhTfbsCh12CtcfbIggrabSig.bigWig,ChipSeq,CH12,CTCF_(SC-15914),wgEncodeSydhTfbsCh12CtcfbIggrabSig
wgEncodeSydhTfbsCh12E2f4IggrabSig,wgEncodeSydhTfbsCh12E2f4IggrabSig.bigWig,ChipSeq,CH12,E2F4,wgEncodeSydhTfbsCh12E2f4IggrabSig
wgEncodeSydhTfbsCh12Ets1IggrabSig,wgEncodeSydhTfbsCh12Ets1IggrabSig.bigWig,ChipSeq,CH12,ETS1,wgEncodeSydhTfbsCh12Ets1IggrabSig
wgEncodeSydhTfbsCh12Gcn5IggrabSig,wgEncodeSydhTfbsCh12Gcn5IggrabSig.bigWig,ChipSeq,CH12,GCN5,wgEncodeSydhTfbsCh12Gcn5IggrabSig
